id,datetime,latitude,longitude,maximumwind
EP011949,"1949061100","20.2","-106.3",45
EP011949,"1949061106","20.2","-106.4",45
EP011949,"1949061112","20.2","-106.7",45
EP011949,"1949061118","20.3","-107.7",45
EP011949,"1949061200","20.4","-108.6",45
EP011949,"1949061206","20.5","-109.4",45
EP011949,"1949061212","20.6","-110.2",45
EP021949,"1949061712","14.1","-107.0",45
EP021949,"1949061718","14.6","-107.7",45
EP021949,"1949061800","15.0","-108.4",45
EP021949,"1949061806","15.4","-109.2",45
EP021949,"1949061812","15.7","-110.0",45
EP021949,"1949061818","16.0","-110.8",45
EP021949,"1949061900","16.3","-111.6",45
EP021949,"1949061906","16.7","-112.3",45
EP021949,"1949061912","17.1","-112.9",45
EP021949,"1949061918","17.5","-113.5",45
EP021949,"1949062000","18.0","-114.1",45
EP021949,"1949062006","18.4","-114.6",45
EP021949,"1949062012","18.9","-115.1",45
EP021949,"1949062018","19.4","-115.6",45
EP021949,"1949062100","19.9","-116.0",45
EP021949,"1949062106","20.4","-116.4",45
EP021949,"1949062112","21.0","-116.7",45
EP021949,"1949062118","21.5","-117.1",45
EP021949,"1949062200","22.0","-117.5",45
EP021949,"1949062206","22.5","-117.8",45
EP021949,"1949062212","23.1","-118.0",45
EP021949,"1949062218","23.9","-118.0",45
EP021949,"1949062300","24.7","-117.7",45
EP021949,"1949062306","25.4","-117.4",45
EP021949,"1949062312","26.0","-117.0",45
EP031949,"1949090312","17.3","-106.3",45
EP031949,"1949090318","17.6","-106.6",45
EP031949,"1949090400","17.9","-106.8",45
EP031949,"1949090406","18.4","-106.8",45
EP031949,"1949090412","18.8","-106.9",45
EP031949,"1949090418","18.9","-106.9",45
EP031949,"1949090500","19.0","-107.0",45
EP031949,"1949090506","19.0","-107.1",45
EP031949,"1949090512","19.1","-107.2",45
EP031949,"1949090518","19.6","-107.9",45
EP031949,"1949090600","20.2","-108.8",45
EP031949,"1949090606","20.7","-109.4",45
EP031949,"1949090612","21.2","-110.0",45
EP031949,"1949090618","22.0","-110.8",45
EP031949,"1949090700","22.9","-111.7",45
EP031949,"1949090706","23.8","-112.8",45
EP031949,"1949090712","24.8","-113.8",45
EP031949,"1949090718","25.5","-114.5",45
EP031949,"1949090800","26.2","-115.2",45
EP031949,"1949090806","27.6","-115.9",45
EP031949,"1949090812","28.6","-116.4",45
EP031949,"1949090818","28.4","-116.4",45
EP031949,"1949090900","28.2","-116.4",45
EP031949,"1949090906","28.1","-116.4",45
EP031949,"1949090912","28.0","-116.5",45
EP041949,"1949090912","19.3","-108.6",75
EP041949,"1949090918","20.2","-109.4",75
EP041949,"1949091000","21.2","-110.2",75
EP041949,"1949091006","21.8","-110.6",75
EP041949,"1949091012","22.5","-110.9",75
EP041949,"1949091018","23.2","-111.0",75
EP041949,"1949091100","23.9","-111.0",75
EP041949,"1949091106","24.3","-111.0",75
EP041949,"1949091112","24.5","-110.9",75
EP051949,"1949091712","15.4","-101.3",45
EP051949,"1949091718","15.8","-102.8",45
EP051949,"1949091800","16.5","-103.9",45
EP051949,"1949091806","17.7","-104.6",45
EP051949,"1949091812","18.7","-105.4",45
EP051949,"1949091818","19.0","-106.1",45
EP051949,"1949091900","19.3","-106.7",45
EP051949,"1949091906","19.7","-107.3",45
EP051949,"1949091912","20.1","-107.9",45
EP061949,"1949092900","16.1","-107.4",25
EP061949,"1949092906","17.0","-107.2",45
EP061949,"1949092912","17.9","-107.3",75
EP061949,"1949092918","18.6","-107.9",75
EP061949,"1949093000","18.8","-108.8",45
EP061949,"1949093006","18.2","-110.1",45
EP061949,"1949093012","16.7","-111.6",25
EP011950,"1950061412","14.1","-98.2",75
EP011950,"1950061418","14.2","-98.5",75
EP011950,"1950061500","14.4","-98.9",75
EP011950,"1950061506","14.8","-99.5",75
EP011950,"1950061512","15.2","-99.9",75
EP011950,"1950061518","15.4","-100.0",75
EP011950,"1950061600","15.6","-100.1",75
EP011950,"1950061606","15.9","-100.2",75
EP011950,"1950061612","16.1","-100.3",75
EP011950,"1950061618","16.1","-100.6",75
EP011950,"1950061700","16.2","-101.1",75
EP011950,"1950061706","16.4","-101.6",75
EP011950,"1950061712","16.6","-102.1",75
EP011950,"1950061718","16.8","-102.8",75
EP011950,"1950061800","17.0","-103.6",75
EP011950,"1950061806","17.4","-105.0",75
EP011950,"1950061812","18.1","-106.0",75
EP011950,"1950061818","19.0","-106.0",75
EP011950,"1950061900","20.0","-106.0",75
EP011950,"1950061906","20.8","-106.0",75
EP011950,"1950061912","21.5","-106.0",75
EP021950,"1950070312","18.4","-105.9",75
EP021950,"1950070318","19.0","-106.3",75
EP021950,"1950070400","19.5","-106.7",75
EP021950,"1950070406","20.2","-107.2",75
EP021950,"1950070412","20.7","-107.8",75
EP021950,"1950070418","21.0","-108.4",75
EP021950,"1950070500","21.1","-109.0",75
EP021950,"1950070506","21.2","-109.7",75
EP021950,"1950070512","21.4","-110.4",75
EP021950,"1950070518","21.8","-111.2",75
EP021950,"1950070600","22.3","-112.0",75
EP021950,"1950070606","22.8","-112.8",75
EP021950,"1950070612","23.3","-113.6",75
EP031950,"1950070912","16.1","-108.0",75
EP031950,"1950070918","16.4","-108.4",75
EP031950,"1950071000","16.7","-108.9",75
EP031950,"1950071006","17.1","-109.7",75
EP031950,"1950071012","17.5","-110.5",75
EP031950,"1950071018","17.8","-111.2",75
EP031950,"1950071100","18.0","-112.0",75
EP031950,"1950071106","18.3","-113.0",75
EP031950,"1950071112","18.6","-114.0",75
EP031950,"1950071118","18.7","-114.9",75
EP031950,"1950071200","18.6","-115.9",75
EP031950,"1950071206","18.4","-117.0",75
EP031950,"1950071212","18.1","-118.0",75
CP011950,"1950081200","14.5","-144.5",25
CP011950,"1950081206","14.9","-144.8",25
CP011950,"1950081212","15.2","-145.2",25
CP011950,"1950081218","15.5","-145.6",25
CP011950,"1950081300","15.7","-145.8",25
CP011950,"1950081306","15.9","-146.3",45
CP011950,"1950081312","16.3","-146.9",45
CP011950,"1950081318","16.6","-147.6",45
CP011950,"1950081400","16.8","-148.1",45
CP011950,"1950081406","17.5","-149.1",45
